[metadata_layer] 793 (wallet, market) pairs to score
[metadata_layer] 59/793 (0xbf4b67…, microstrategy-sell-any-bitcoin-i) elapsed=15.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 60/793 (0x9c2617…, microstrategy-sell-any-bitcoin-i) elapsed=16.1s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 61/793 (0x926df8…, microstrategy-sell-any-bitcoin-i) elapsed=16.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 62/793 (0x976685…, microstrategy-sell-any-bitcoin-i) elapsed=16.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 63/793 (0xab57cc…, microstrategy-sell-any-bitcoin-i) elapsed=16.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 64/793 (0x9d4b90…, nothing-ever-happens-microstrate) elapsed=17.3s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 65/793 (0xa0c37c…, nothing-ever-happens-microstrate) elapsed=17.5s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 66/793 (0xc8ab97…, nothing-ever-happens-microstrate) elapsed=17.7s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 67/793 (0x4bfb41…, nothing-ever-happens-microstrate) elapsed=17.9s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 68/793 (0x899a25…, nothing-ever-happens-microstrate) elapsed=18.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 69/793 (0x382caa…, nothing-ever-happens-microstrate) elapsed=18.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 70/793 (0x468051…, nothing-ever-happens-microstrate) elapsed=18.8s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 71/793 (0x7ab480…, nothing-ever-happens-microstrate) elapsed=19.0s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 72/793 (0xc084ec…, nothing-ever-happens-microstrate) elapsed=19.2s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 73/793 (0xdc4f08…, nothing-ever-happens-microstrate) elapsed=19.4s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
[metadata_layer] 74/793 (0xa43d9a…, nothing-ever-happens-microstrate) elapsed=19.6s ERR: JSONDecodeError: Expecting value: line 1 column 1 (char 0)
